State,State Code,Year,Population,Deaths
Wisconsin,55,2009,5669264,2.117647059
Wisconsin,55,2010,5686986,2.117647059
Wisconsin,55,2011,5711767,2.117647059
Wisconsin,55,2012,5726398,2.117647059
Wisconsin,55,2013,5742713,2.117647059
Wisconsin,55,2014,5757564,2.117647059
Wisconsin,55,2015,5771337,2.117647059
Wyoming,56,1999,491780,-1
Wyoming,56,2000,493782,-1
Wyoming,56,2001,494657,-1
Wyoming,56,2002,500017,-1
Wyoming,56,2003,503453,-1
Wyoming,56,2004,509106,-1
Wyoming,56,2005,514157,-1
Wyoming,56,2006,522667,-1
Wyoming,56,2007,534876,-1
Wyoming,56,2008,546043,-1
Wyoming,56,2009,559851,-1
Wyoming,56,2010,563626,-1
Wyoming,56,2011,568158,-1
Wyoming,56,2012,576412,-1
Wyoming,56,2013,582658,-1
Wyoming,56,2014,584153,-1
Wyoming,56,2015,586107,-1
